City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Harper,LR,2020-08-21 21:01:28,4.38,-7.72,75.76,83,88,9.35
240,Kassala,SD,2020-08-21 21:01:28,15.45,36.4,86.97,61,100,11.99
241,Chokurdakh,RU,2020-08-21 21:01:28,70.63,147.92,35.92,93,99,8.19
242,Guerrero Negro,MX,2020-08-21 21:01:29,27.98,-114.06,96.8,37,11,28.19
243,Rio Grande,BR,2020-08-21 20:57:14,-32.03,-52.1,59.0,28,0,10.29
244,Papara,BR,2020-08-21 21:01:29,-3.98,-38.73,80.6,78,16,11.41
245,Srednekolymsk,RU,2020-08-21 21:01:29,67.45,153.68,40.82,71,100,13.53
246,Kerur,IN,2020-08-21 21:01:29,16.02,75.57,72.01,90,100,10.6
247,Jevargi,IN,2020-08-21 21:01:30,17.02,76.77,73.74,88,100,9.46
248,Saint-Leu,RE,2020-08-21 21:01:30,-21.15,55.28,68.0,56,0,8.05
249,Koslan,RU,2020-08-21 21:01:30,63.46,48.9,48.33,93,1,4.18
250,Cabedelo,BR,2020-08-21 21:01:30,-6.98,-34.83,78.8,78,75,13.87
251,Andenes,NO,2020-08-21 20:57:23,69.31,16.12,53.6,87,74,6.93
252,San Ramon,US,2020-08-21 20:57:31,37.78,-121.98,93.99,33,90,6.93
253,Mayo,US,2020-08-21 21:01:31,38.89,-76.51,84.99,74,1,9.17
254,Prachuap Khiri Khan,TH,2020-08-21 21:01:31,11.82,99.78,77.61,77,100,6.02
255,Broome,US,2020-08-21 21:01:32,42.25,-75.83,82.99,42,40,9.17
256,Murgab,TM,2020-08-21 21:01:32,37.5,61.97,77.0,33,0,6.93
257,Sibolga,ID,2020-08-21 21:01:32,1.74,98.78,76.44,84,99,3.87
258,Fairbanks,US,2020-08-21 20:58:37,64.84,-147.72,55.4,87,40,2.42
259,Itarema,BR,2020-08-21 21:01:33,-2.92,-39.92,79.18,78,6,15.21
260,Kindersley,CA,2020-08-21 21:01:33,51.47,-109.17,75.2,47,20,19.46
261,Diamantino,BR,2020-08-21 21:01:33,-14.41,-56.45,67.55,46,4,11.07
262,Ostrovnoy,RU,2020-08-21 21:01:33,68.05,39.51,52.79,90,73,4.74
263,Bengkulu,ID,2020-08-21 21:01:34,-3.8,102.27,75.31,86,79,4.81
264,Shimoda,JP,2020-08-21 21:01:34,34.67,138.95,75.99,92,0,5.12
265,Goundi,TD,2020-08-21 21:01:34,9.36,17.37,75.18,89,87,2.71
266,Kavieng,PG,2020-08-21 21:01:34,-2.57,150.8,82.58,75,0,8.95
267,Forestville,US,2020-08-21 21:01:35,38.85,-76.88,86.0,58,20,6.93
268,Katsuura,JP,2020-08-21 21:01:35,35.13,140.3,80.01,91,0,3.27
269,Makow Mazowiecki,PL,2020-08-21 21:01:35,52.86,21.1,69.01,45,90,8.84
270,Bairiki,KI,2020-08-21 21:01:10,1.33,172.98,82.4,78,20,3.36
271,Piacabucu,BR,2020-08-21 21:01:36,-10.41,-36.43,74.25,85,88,8.25
272,Padang,ID,2020-08-21 21:01:36,-0.95,100.35,77.7,79,99,4.68
273,The Valley,AI,2020-08-21 21:01:36,18.22,-63.06,84.2,78,20,14.99
274,Zhangye,CN,2020-08-21 21:01:36,38.93,100.45,71.51,48,92,2.24
275,Yerbogachen,RU,2020-08-21 21:01:36,61.28,108.01,52.36,93,26,3.94
276,Gondanglegi,ID,2020-08-21 21:01:37,-7.75,112.01,73.31,83,87,7.09
277,Kahului,US,2020-08-21 21:00:01,20.89,-156.47,89.6,46,40,23.04
278,Saint-Philippe,RE,2020-08-21 21:01:37,-21.36,55.77,68.0,56,42,8.05
279,Fornosovo,RU,2020-08-21 21:01:37,59.57,30.55,62.6,67,0,2.24
280,Mabamba,TZ,2020-08-21 21:01:38,-3.6,30.5,68.0,60,53,0.67
281,Petropavlovsk-Kamchatskiy,RU,2020-08-21 21:01:38,53.05,158.65,55.4,76,20,4.47
282,Waw,SS,2020-08-21 21:01:38,7.7,28.0,72.95,93,27,2.33
283,Barentu,ER,2020-08-21 21:01:38,15.11,37.59,77.22,74,95,7.9
284,Manavgat,TR,2020-08-21 21:01:39,36.79,31.44,87.8,22,0,10.29
285,Providencia,MX,2020-08-21 21:01:39,28.72,-111.58,97.0,52,73,11.99
286,Kachug,RU,2020-08-21 21:01:39,53.96,105.88,55.69,83,100,2.06
287,Talnakh,RU,2020-08-21 21:01:39,69.49,88.4,57.2,87,100,4.47
288,Lata,PT,2020-08-21 21:01:39,40.16,-8.33,69.01,91,67,2.55
289,Karabanovo,RU,2020-08-21 21:01:40,56.32,38.7,53.51,92,0,4.61
290,Ambilobe,MG,2020-08-21 21:01:40,-13.2,49.05,66.83,80,59,4.0
291,Ulkan,RU,2020-08-21 21:01:41,57.24,107.32,56.01,66,100,1.57
292,Peniche,PT,2020-08-21 21:01:41,39.36,-9.38,69.01,90,44,4.0
293,Bangsund,NO,2020-08-21 21:01:41,64.4,11.39,71.6,56,95,13.87
